Title,year
Pokémon Detective Pikachu,2019
Rio,2011
Kung Fu Panda 3,2016
Juno,2007
Marley & Me,2008
The Smurfs,2011
Once Upon a Time... In Hollywood,2019
The Jungle Book,1967
Rush Hour,1998
Shazam!,2019
Ocean's Eight,2018
Rush Hour 3,2007
Look Who's Talking,1989
Stuart Little,1999
The Rocky Horror Picture Show,1975
Sister Act,1992
The Santa Clause 2,2002
Cheaper by the Dozen,2003
Bad Boys II,2003
21 Jump Street,2012
A Christmas Carol,2009
Click,2006
101 Dalmatians,1996
Anger Management,2003
Chicken Little,2005
Teenage Mutant Ninja Turtles,1990
Patch Adams,1998
Ride Along,2014
Identity Thief,2013
Grown Ups 2,2013
Alvin and the Chipmunks: Chipwrecked,2011
Bringing Down the House,2003
Silver Linings Playbook,2012
Rio 2,2014
"Honey, I Shrunk the Kids",1989
The Flintstones,1994
Get Smart,2008
The Peanuts Movie,2015
The Nutty Professor,1996
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
Ghostbusters: Answer the Call,2016
Kingsman: The Secret Service,2014
Robots,2005
Coming to America,1988
Into the Woods,2014
Enchanted,2007
Central Intelligence,2016
Anchorman 2: The Legend Continues,2013
Sweet Home Alabama,2002
Dumb and Dumber,1994
My Best Friend's Wedding,1997
Smokey and the Bandit,1977
Bee Movie,2007
Sleepless in Seattle,1993
Mr. Deeds,2002
The Truman Show,1998
Charlie's Angels,2000
Cloudy with a Chance of Meatballs,2009
The Devil Wears Prada,2006
Something's Gotta Give,2003
The Birdcage,1996
City Slickers,1991
"Good Morning, Vietnam",1987
Rango,2011
Nutty Professor II: The Klumps,2000
The Good Dinosaur,2015
Wayne's World,1992
Free Guy,2021
Superbad,2007
50 First Dates,2004
Mamma Mia! Here We Go Again,2018
Mulan,1998
Four Christmases,2008
I Now Pronounce You Chuck & Larry,2007
The Mask,1994
Cloudy with a Chance of Meatballs 2,2013
Hook,1991
Blazing Saddles,1974
G-Force,2009
The Other Guys,2010
Hairspray,2007
The Break-Up,2006
A Series of Unfortunate Events,2004
Blades of Glory,2007
Back to the Future Part II,1989
Big Momma's House,2000
Horrible Bosses,2011
The Wolf of Wall Street,2013
Notting Hill,1999
The Lion King,2019
Beauty and the Beast,I 2017
E.T. the Extra-Terrestrial,1982
The Lion King,1994
The Jungle Book,2016
Alice in Wonderland,I 2010
Harry Potter and the Sorcerer's Stone,2001
Harry Potter and the Half-Blood Prince,2009
Harry Potter and the Deathly Hallows: Part 1,2010
Harry Potter and the Order of the Phoenix,2007
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
Harry Potter and the Goblet of Fire,2005
Harry Potter and the Chamber of Secrets,2002
The Incredibles,2004
Harry Potter and the Prisoner of Azkaban,2004
Maleficent,2014
Oz the Great and Powerful,2013
Fantastic Beasts and Where to Find Them,2016
WALL·E,2008
Beauty and the Beast,1991
Cinderella,I 2015
Snow White and the Seven Dwarfs,1937
The Karate Kid,2010
The Sound of Music,1965
Fantastic Beasts: The Crimes of Grindelwald,2018
The Chronicles of Narnia: Prince Caspian,2008
Pocahontas,I 1995
Dinosaur,2000
Wonder,I 2017
The Last Airbender,2010
Peter Rabbit,2018
The Karate Kid Part II,1986
Dumbo,2019
Bolt,2008
Maleficent: Mistress of Evil,2019
Night at the Museum: Secret of the Tomb,2014
The Pacifier,2005
Dr. Dolittle 2,2001
Spy Kids,2001
Spy Kids 3: Game Over,2003
The Little Mermaid,1989
Mr. Peabody & Sherman,2014
Freaky Friday,2003
Bedtime Stories,2008
The Princess Diaries,2001
Hop,2011
Epic,2013
Angry Birds,2016
Chicken Run,2000
The Lego Movie 2: The Second Part,2019
George of the Jungle,1997
The Princess and the Frog,2009
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
Daddy Day Care,2003
Journey 2: The Mysterious Island,2012
Rise of the Guardians,2012
Bambi,1942
Mary Poppins,1964
Journey to the Center of the Earth,2008
The Prince of Egypt,1998
The Cat in the Hat,2003
A Wrinkle in Time,2018
Jumanji,1995
Evan Almighty,2007
Casper,1995
The Hunchback of Notre Dame,1996
The Addams Family,2019
Gnomeo & Juliet,2011
Christopher Robin,2018
Hercules,1997
Meet the Robinsons,2007
Inspector Gadget,1999
The Princess Diaries 2: Royal Engagement,2004
The Ten Commandments,1956
Lady and the Tramp,1955
Tomorrowland,2015
Cats & Dogs,2001
Flubber,1997
Heaven Is for Real,2014
The Karate Kid,1984
Antz,1998
The Game Plan,2007
High School Musical 3: Senior Year,2008
Space Jam,1996
Planes,2013
Father of the Bride,1991
The Emperor's New Groove,2000
Percy Jackson & the Olympians: The Lightning Thief,2010
The Muppets,2011
Peter Pan,1953
Miss Peregrine's Home for Peculiar Children,2016
The Emoji Movie,2017
Annie,2014
Spy Kids 2: Island of Lost Dreams,2002
Pokémon: The First Movie - Mewtwo Strikes Back,1998
The SpongeBob SquarePants Movie,2004
Brother Bear,2003
Open Season,2006
Cinderella,1950
The Santa Clause 3: The Escape Clause,2006
Ferdinand,2017
Pinocchio,1940
Scooby-Doo 2: Monsters Unleashed,2004
Atlantis: The Lost Empire,2001
Penguins of Madagascar,2014
Smallfoot,2018
Turbo,2013
Charlotte's Web,2006
Are We There Yet?,2005
Cheaper by the Dozen 2,2005
Bridge to Terabithia,2007
Eight Below,2006
Snow Dogs,2002
Jimmy Neutron: Boy Genius,2001
Fiddler on the Roof,1971
Zookeeper,2011
Nacho Libre,2006
Hannah Montana: The Movie,2009
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991
Free Willy,1993
The Adventures of Tintin,2011
Parental Guidance,2012
Where the Wild Things Are,2009
Dolittle,2020
Alice Through the Looking Glass,2016
The Muppet Movie,1979
Father of the Bride Part II,1995
Fantasia,1940
Paddington,2014
Titanic,1997
Forrest Gump,1994
The Twilight Saga: Eclipse,2010
The Twilight Saga: New Moon,2009
The Twilight Saga: Breaking Dawn - Part 2,2012
The Twilight Saga: Breaking Dawn - Part 1,2011
Cast Away,2000
King Kong,2005
Ghost,1990
A Star Is Born,2018
Gone with the Wind,1939
Pearl Harbor,2001
Twilight,I 2008
Fifty Shades of Grey,2015
Robin Hood: Prince of Thieves,1991
Les Misérables,2012
The Great Gatsby,2013
Slumdog Millionaire,2008
Good Will Hunting,1997
An Officer and a Gentleman,1982
"Crouching Tiger, Hidden Dragon",2000
The Curious Case of Benjamin Button,2008
The Legend of Tarzan,2016
The Vow,2012
The Fault in Our Stars,2014
The Bodyguard,1992
Walk the Line,2005
You've Got Mail,1998
Big,1988
Fifty Shades Darker,2017
It's Complicated,2009
Doctor Zhivago,1965
Valentine's Day,I 2010
Trainwreck,2015
The 40-Year-Old Virgin,2005
Little Women,2019
Miss Congeniality,2000
Indecent Proposal,1993
Love Story,1970
How to Lose a Guy in 10 Days,2003
The Graduate,1967
Phenomenon,1996
Dick Tracy,1990
Just Go with It,2011
Vanilla Sky,2001
Fifty Shades Freed,2018
Shakespeare in Love,1998
Bad Teacher,2011
Passengers,I 2016
Date Night,2010
Yes Man,2008
Downton Abbey,2019
Legally Blonde,2001
Norbit,2007
Cold Mountain,2003
Arthur,1981
Sex and the City 2,2010
Flashdance,1983
Julie & Julia,2009
The Mask of Zorro,1998
Maid in Manhattan,2002
He's Just Not That Into You,2009
America's Sweethearts,2001
Two Weeks Notice,2002
When Harry Met Sally...,1989
Think Like a Man,2012
Back to School,1986
Save the Last Dance,2001
The Ugly Truth,2009
Failure to Launch,2006
Along Came Polly,2004
Entrapment,1999
Out of Africa,1985
The War of the Roses,1989
Tammy,2014
"Crazy, Stupid, Love.",2011
The Other Woman,2014
Up in the Air,I 2009
Steel Magnolias,1989
Immortals,2011
Brokeback Mountain,2005
Monster-in-Law,2005
Dracula,1992
While You Were Sleeping,1995
The Notebook,2004
Moonstruck,1987
Eat Pray Love,2010
What Happens in Vegas,2008
The Wedding Singer,1998
Footloose,1984
Dear John,I 2010
City of Angels,1998
The English Patient,1996
Cocktail,1988
The Terminal,2004
27 Dresses,2008
Romancing the Stone,1984
The Jewel of the Nile,1985
The Family Man,2000
"You, Me and Dupree",2006
The Last of the Mohicans,1992
The Horse Whisperer,1998
Six Days Seven Nights,1998
Yesterday,III 2019
My Fair Lady,1964
Bridget Jones's Diary,2001
The Bridges of Madison County,1995
Chocolat,2000
Sideways,2004
"I Love You, Man",2009
Safe Haven,I 2013
Groundhog Day,1993
Shallow Hal,2001
No Strings Attached,I 2011
Fool's Gold,I 2008
Grumpy Old Men,1993
Boomerang,1992
Grumpier Old Men,1995
Nine Months,1995
The Thomas Crown Affair,1999
Guess Who,2005
Witness,1985
Book Club,I 2018
Bring It On,2000
Obsessed,2009
This Is 40,2012
The Bounty Hunter,I 2010
The Secret of My Success,1987
The Mexican,2001
Legends of the Fall,1994
Warm Bodies,2013
The Parent Trap,1998
Big Fish,2003
Herbie Fully Loaded,2005
Ever After: A Cinderella Story,1998
Deuce Bigalow: Male Gigolo,1999
Step Up,2006
Wolf,1994
Pitch Perfect,2012
The American President,1995
Flushed Away,2006
17 Again,2009
Happy Feet Two,2011
Working Girl,1988
The Shape of Water,2017
In & Out,1997
Hope Springs,2012
Risky Business,1983
The Time Traveler's Wife,2009
She's All That,1999
Dave,1993
The Holiday,2006
Forgetting Sarah Marshall,2008
The Last Song,2010
The Crying Game,1992
The Adjustment Bureau,2011
Bewitched,2005
Splash,1984
Cinderella Man,2005
Stomp the Yard,2007
The Saint,1997
Coyote Ugly,2000
The Lucky One,2012
The Wedding Planner,2001
Scrooged,1988
Baby Mama,2008
The Family Stone,2005
Hope Floats,1998
My Girl,1991
Love Actually,2003
My Big Fat Greek Wedding 2,2016
Far and Away,1992
The Blue Lagoon,1980
Avatar,2009
Star Wars: Episode VIII - The Last Jedi,2017
Star Wars: The Rise Of Skywalker,2019
Star Wars: Episode I - The Phantom Menace,1999
Pirates of the Caribbean: Dead Man's Chest,2006
Wonder Woman,2017
Harry Potter and the Deathly Hallows: Part 2,2011
Star Wars: Episode III - Revenge of the Sith,2005
The Lord of the Rings: The Return of the King,2003
The Lord of the Rings: The Two Towers,2002
Aquaman,2018
Suicide Squad,2016
Star Wars,1977
The Lord of the Rings: The Fellowship of the Ring,2001
Star Wars: Episode II - Attack of the Clones,2002
Pirates of the Caribbean: At World's End,2007
Star Wars: Episode VI - Return of the Jedi,1983
Pirates of the Caribbean: The Curse of the Black Pearl,2003
The Hobbit: An Unexpected Journey,2012
Star Wars: Episode V - The Empire Strikes Back,1980
The Hobbit: The Desolation of Smaug,2013
The Hobbit: The Battle of the Five Armies,2014
Pirates of the Caribbean: On Stranger Tides,2011
Doctor Strange,2016
Justice League,2017
Hancock,2008
Shang-Chi and the Legend of the Ten Rings,2021
It Chapter Two,2019
Thor: The Dark World,2013
The Mummy Returns,2001
Thor,2011
Pirates of the Caribbean: Dead Men Tell No Tales,2017
Kong: Skull Island,2017
Eternals,2021
Clash of the Titans,2010
Batman Returns,1992
Snow White and the Huntsman,2012
The Mummy,1999
Fantastic Four,I 2005
The Green Mile,1999
Fantastic Four: Rise of the Silver Surfer,2007
Lara Croft: Tomb Raider,2001
Life of Pi,2012
Van Helsing,2004
Ghost Rider,2007
The Addams Family,1991
Ghostbusters II,1989
Godzilla: King of the Monsters,2019
Interview with the Vampire: The Vampire Chronicles,1994
The Mummy: Tomb of the Dragon Emperor,2008
Sleepy Hollow,1999
Sausage Party,2016
Michael,1996
"10,000 BC",2008
The Haunting,1999
The Scorpion King,2002
Prince of Persia: The Sands of Time,2010
Power Rangers,2017
Wrath of the Titans,2012
Beowulf,2007
The Mummy,2017
Goosebumps,2015
The Golden Child,1986
Dark Shadows,2012
Pixels,2015
Pete's Dragon,2016
Constantine,2005
The Haunted Mansion,2003
Hellboy II: The Golden Army,2008
Garfield,2004
Coraline,2009
Star Wars: Episode VII - The Force Awakens,2015
Avengers: Endgame,2019
Black Panther,2018
Avengers: Infinity War,2018
Jurassic World,2015
The Avengers,2012
The Dark Knight,2008
Rogue One: A Star Wars Story,2016
Avengers: Age of Ultron,2015
The Dark Knight Rises,2012
Captain Marvel,2019
The Hunger Games: Catching Fire,2013
Jurassic World: Fallen Kingdom,2018
Iron Man Three,2013
Captain America: Civil War,2016
The Hunger Games,2012
Spider-Man,2002
Jurassic Park,1993
Transformers: Revenge of the Fallen,2009
Spider-Man: Far from Home,2019
Spider-Man 2,2004
Furious 7,2015
Transformers: Dark of the Moon,2011
American Sniper,2014
The Hunger Games: Mockingjay - Part 1,2014
Spider-Man 3,2007
Spider-Man: Homecoming,2017
Batman v Superman: Dawn of Justice,2016
Transformers,2007
Iron Man,2008
Indiana Jones and the Kingdom of the Crystal Skull,2008
Iron Man 2,2010
Independence Day,1996
Skyfall,2012
Inception,2010
Man of Steel,2013
The Hunger Games: Mockingjay - Part 2,2015
The Matrix Reloaded,2003
Gravity,2013
The Amazing Spider-Man,2012
Captain America: The Winter Soldier,2014
Star Trek,2009
I Am Legend,2007
Batman,1989
Indiana Jones and the Raiders of the Lost Ark,1981
Transformers: Age of Extinction,2014
Twister,I 1996
Furious 6,2013
X-Men: The Last Stand,2006
War of the Worlds,2005
X-Men: Days of Future Past,2014
The Lost World: Jurassic Park,1997
Star Trek Into Darkness,2013
The Bourne Ultimatum,2007
Logan,2017
The Fate of the Furious,2017
Mission: Impossible - Fallout,2018
National Treasure: Book of Secrets,2007
Mission: Impossible II,2000
X2: X-Men United,2003
Solo: A Star Wars Story,2018
Venom,2018
Venom: Let There Be Carnage,2021
300,2006
Fast Five,2011
Mission: Impossible - Ghost Protocol,2011
Sherlock Holmes,2009
Dawn of the Planet of the Apes,2014
Batman Begins,2005
Terminator 2: Judgment Day,1991
The Amazing Spider-Man 2,2014
World War Z,2013
Armageddon,1998
Godzilla,2014
Superman Returns,2006
Spectre,I 2015
Indiana Jones and the Last Crusade,1989
Mission: Impossible - Rogue Nation,2015
Dunkirk,2017
Gladiator,2000
Sherlock Holmes: A Game of Shadows,2011
The Day After Tomorrow,2004
Batman Forever,1995
The Fugitive,1993
Black Widow,2021
The Revenant,2015
The Perfect Storm,2000
Jurassic Park III,2001
Mission: Impossible,1996
Planet of the Apes,2001
X-Men Origins: Wolverine,2009
Indiana Jones and the Temple of Doom,1984
Top Gun,1986
Rise of the Planet of the Apes,2011
Captain America: The First Avenger,2011
The Bourne Supremacy,2004
Fast & Furious Presents: Hobbs & Shaw,2019
F9: The Fast Saga,2021
National Treasure,2004
Air Force One,1997
TRON: Legacy,2010
The Matrix,1999
John Wick: Chapter 3 - Parabellum,2019
Quantum of Solace,2008
Casino Royale,2006
2012,I 2009
Jason Bourne,I 2016
Die Another Day,2002
No Time to Die,2021
1917,2019
Star Trek Beyond,2016
X-Men,2000
X-Men: Apocalypse,2016
San Andreas,2015
Fast & Furious,2009
Mad Max: Fury Road,2015
G.I. Joe: The Rise of Cobra,2009
Divergent,2014
Rambo: First Blood Part II,1985
Terminator 3: Rise of the Machines,2003
Lethal Weapon 2,1989
War for the Planet of the Apes,2017
X: First Class,2011
Taken,I 2008
"I, Robot",2004
Lethal Weapon 3,1992
The Fast and the Furious,2001
The Meg,2018
xXx,2002
Deep Impact,1998
Taken 2,2012
The Matrix Revolutions,2003
Ready Player One,2018
Ransom,1996
Godzilla,I 1998
Live Free or Die Hard,2007
The Incredible Hulk,2008
Wanted,2008
Superman,1978
The Rock,1996
Mission: Impossible III,2006
Angels & Demons,2009
The Wolverine,2013
Hulk,2003
Minority Report,2002
Lethal Weapon 4,1998
The Divergent Series: Insurgent,2015
Transformers: The Last Knight,2017
Bumblebee,I 2018
2 Fast 2 Furious,2003
The Greatest Showman,2017
Dreamgirls,2006
Rocketman,I 2019
The Nightmare Before Christmas,1993
Oliver & Company,1988
Fantasia 2000,1999
Anastasia,1997
Moulin Rouge!,2001
The Blues Brothers,1980
Annie,1982
Corpse Bride,2005
Sweeney Todd: The Demon Barber of Fleet Street,2007
"South Park: Bigger, Longer & Uncut",1999
Sleeping Beauty,1959
Hoodwinked!,2005
The Phantom of the Opera,2004
Muppets Most Wanted,2014
The Road to El Dorado,2000
The Book of Life,2014
Evita,1996
Popeye,1980
Isn't It Romantic,2019
An American Tail,1986
West Side Story,1961
Cabaret,1972
Burlesque,I 2010
Little Shop of Horrors,1986
The Great Mouse Detective,1986
Rock of Ages,2012
All That Jazz,1979
The AristoCats,1970
Robin Hood: Men in Tights,1993
A Goofy Movie,1995
Robin Hood,1973
History of the World: Part I,1981
White Christmas,1954
Rent,2005
James and the Giant Peach,1996
The Muppet Christmas Carol,1992
It,I 2017
The Exorcist,1973
A Quiet Place,2018
Get Out,I 2017
Us,II 2019
A Quiet Place Part II,2020
Halloween,I 2018
What Lies Beneath,2000
The Blair Witch Project,1999
Split,IX 2016
The Conjuring,2013
The Ring,2002
The Nun,2018
The Grudge,2004
Paranormal Activity,2007
Paranormal Activity 3,2011
Scream,1996
Jaws 2,1978
The Conjuring 2,2016
Annabelle: Creation,2017
Scream 2,1997
The Others,2001
Don't Breathe,2016
Scream 3,2000
Saw II,2005
The Amityville Horror,1979
Paranormal Activity 2,2010
Annabelle,I 2014
Insidious: Chapter 2,2013
Freddy vs. Jason,2003
Blade II,2002
The Texas Chainsaw Massacre,2003
Alien vs. Predator,2004
Saw III,2006
Cloverfield,2008
The Purge: Election Year,2016
Alien,1979
Poltergeist,1982
The Ring Two,2005
Zombieland,2009
The Exorcism of Emily Rose,2005
Alien: Covenant,2017
Annabelle Comes Home,2019
Hollow Man,2000
Zombieland: Double Tap,2019
I Know What You Did Last Summer,1997
10 Cloverfield Lane,2016
1408,2007
The Purge: Anarchy,2014
Mama,I 2013
The Invisible Man,I 2020
Blade,1998
The First Purge,2018
Insidious: The Last Key,2018
Lights Out,II 2016
End of Days,1999
The Final Destination,2009
Anaconda,1997
The Amityville Horror,2005
The Visit,I 2015
Friday the 13th,2009
The Purge,I 2013
The Witches of Eastwick,1987
Saw IV,2007
A Nightmare on Elm Street,2010
Scary Stories to Tell in the Dark,2019
Underworld: Awakening,2012
The Wolfman,2010
Flatliners,1990
The Cell,2000
Resident Evil: Afterlife,2010
Species,1995
Predator,1987
Gothika,2003
The Stepford Wives,2004
Dawn of the Dead,2004
Death Becomes Her,1992
Halloween,2007
Pet Sematary,1989
Escape Room,I 2019
Saw V,2008
White Noise,I 2005
Dracula Untold,2014
Saw,2004
Hansel & Gretel: Witch Hunters,2013
Happy Death Day,2017
Alien 3,1992
The Haunting in Connecticut,2009
The Shallows,2016
Halloween H20: 20 Years Later,1998
Spawn,1997
The Curse of La Llorona,2019
Pet Sematary,2019
The Omen,2006
The Woman in Black,2012
Evil Dead,2013
Final Destination 3,2006
Insidious,I 2010
Paranormal Activity 4,2012
Final Destination,2000
The Devil Inside,2012
Arachnophobia,1990
King Kong,1976
The Strangers,2008
Blade: Trinity,2004
Insidious: Chapter 3,2015
The Call,II 2013
My Bloody Valentine,2009
Resident Evil: Apocalypse,2004
Hide and Seek,2005
Ouija,II 2014
Resident Evil: Extinction,2007
Stigmata,1999
A Nightmare on Elm Street 4: The Dream Master,1988
The Possession,I 2012
Sinister,I 2012
When a Stranger Calls,2006
The Skeleton Key,2005
Alien: Resurrection,1997
Demon Slayer the Movie: Mugen Train,2020
Poltergeist,2015
Hostel,2005
Halloween,1978
Silent Hill,2006
Final Destination 2,2003
Boogeyman,2005
Saw: The Final Chapter,2010
Jaws 3-D,1983
Ma,I 2019
28 Days Later...,2002
A Nightmare on Elm Street 3: Dream Warriors,1987
The Forever Purge,2021
47 Meters Down,2017
Hereditary,2018
The Shining,1980
Prom Night,I 2008
The Unborn,2009
Krampus,I 2015
Final Destination 5,2011
Resident Evil: Retribution,2012
Drag Me to Hell,2009
The Cabin in the Woods,2011
Thir13en Ghosts,2001
Exorcist: The Beginning,2004
Aliens vs. Predator: Requiem,2007
The Hills Have Eyes,2006
Orphan,2009
Gremlins 2: The New Batch,1990
Truth or Dare,I 2018
The Last Exorcism,2010
Poltergeist II: The Other Side,1986
House on Haunted Hill,1999
The Fly,1986
Legion,2010
Resident Evil,2002
The Faculty,1998
A Haunted House,2013
I Still Know What You Did Last Summer,1998
Friday the 13th,1980
30 Days of Night,2007
The Texas Chainsaw Massacre: The Beginning,2006
Hocus Pocus,1993
Pitch Black,2000
The Grudge 2,2006
The Crazies,2010
Crawl,I 2019
Scream 4,2011
Urban Legend,1998
Jigsaw,I 2017
The Brothers Grimm,2005
Jeepers Creepers,2001
Red Riding Hood,2011
Abraham Lincoln: Vampire Hunter,2012
Friday the 13th Part III,1982
Vampires Suck,2010
The Boy,2016
The Mothman Prophecies,2002
Jeepers Creepers 2,2003
The Messengers,2007
Frankenweenie,2012
Carrie,2013
Ouija: Origin of Evil,2016
Freddy's Dead: The Final Nightmare,1991
Psycho II,1983
Texas Chainsaw,2013
The Relic,1997
Carrie,1976
Dreamcatcher,2003
Devil,2010
Halloween II,2009
Child's Play,1988
The Rite,2011
Dracula 2000,2000
Friday the 13th: The Final Chapter,1984
The Last House on the Left,2009
Annihilation,I 2018
Don't Breathe 2,2021
Darkness Falls,2003
Unfriended,2014
Paranormal Activity: The Marked Ones,2014
Bride of Chucky,1998
Anacondas: The Hunt for the Blood Orchid,2004
The Lost Boys,1987
The Lawnmower Man,1992
House of Wax,2005
Psycho,1960
Lake Placid,1999
Quarantine,2008
House at the End of the Street,2012
From Hell,2001
The Eye,2008
The Mortal Instruments: City of Bones,2013
Crimson Peak,2015
The Texas Chain Saw Massacre,1974
Mirrors,I 2008
Predator 2,1990
Open Water,2003
Deliver Us from Evil,I 2014
Slender Man,2018
An American Werewolf in London,1981
Halloween: Resurrection,2002
Underworld: Blood Wars,2016
Queen of the Damned,2002
Life,I 2017
Ghost Ship,2002
Daybreakers,2009
A Nightmare on Elm Street 2: Freddy's Revenge,1985
Lincoln,2012
Apollo 13,I 1995
Hidden Figures,2016
Straight Outta Compton,2015
The King's Speech,2010
Troy,2004
Seabiscuit,2003
The Patriot,2000
Black Hawk Down,2001
Robin Hood,2010
Public Enemies,2009
Schindler's List,1993
Zero Dark Thirty,2012
Valkyrie,2008
21,2008
War Horse,2011
We Were Soldiers,2002
The Monuments Men,2014
Braveheart,1995
Ben-Hur,1959
Bridge of Spies,2015
All the President's Men,1976
JFK,1991
World Trade Center,2006
The Big Short,2015
Cool Runnings,1993
Hacksaw Ridge,2016
Charlie Wilson's War,2007
Miracle,2004
Deepwater Horizon,2016
The Good Shepherd,2006
Secretariat,2010
Cleopatra,1963
Midway,2019
12 Years a Slave,2013
Tombstone,1993
Hero,2002
13 Hours,2016
Selma,2014
King Arthur,2004
A Bridge Too Far,1977
Red Tails,2012
Malcolm X,1992
Munich,2005
Kingdom of Heaven,2005
12 Strong,2018
First Man,2018
Amistad,1997
The Last Emperor,1987
Anna and the King,1999
The Longest Day,1962
Seven Years in Tibet,1997
Invictus,2009
Risen,2016
The Thin Red Line,1998
Changeling,2008
K-19: The Widowmaker,2002
The Killing Fields,1984
Mississippi Burning,1988
Thirteen Days,2000
The Favourite,2018
Alexander,2004
Flags of Our Fathers,2006
Woman in Gold,2015
Breach,2007
The 13th Warrior,1999
Patriots Day,2016
Rob Roy,1995
United 93,2006
"Good Night, and Good Luck.",2005
Elizabeth,1998
Spartacus,1960
Tora! Tora! Tora!,1970
Capote,2005
Defiance,I 2008
A Man for All Seasons,1966
The Finest Hours,2016
Glory,1989
The Other Boleyn Girl,2008
W.,I 2008
In the Heart of the Sea,2015
Quiz Show,1994
Jesus Christ Superstar,1973
Across the Universe,2007
Hotel Rwanda,2004
Caligula,1979
Pompeii,I 2014
The Lion in Winter,1968
Victoria & Abdul,2017
Empire of the Sun,1987
The Right Stuff,1983
Free State of Jones,2016
The Three Musketeers,2011
The Eagle,2011
The Impossible,2012
Frost/Nixon,2008
Operation Finale,2018
