,Title,Release Year,Certificate,Runtime,Genres,Description,IMDB Rating,Metascore,Votes,Gross Revenue,genre_pull
7,Tarzan,(1999),G,88 min,"
Animation, Adventure, Comedy            ","
A man raised by gorillas must decide where he really belongs when he discovers he is a human.","

7.3
","
79        
        Metascore
            ","218,727",$171.09M,comedy
8,Chicago,(2002),PG-13,113 min,"
Comedy, Crime, Musical            ","
Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.","

7.2
","
81        
        Metascore
            ","226,201",$170.69M,comedy
9,Hotel Transylvania 2,(2015),PG,89 min,"
Animation, Adventure, Comedy            ","
Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.","

6.7
","
44        
        Metascore
            ","122,184",$169.70M,comedy
10,Bridesmaids,(I) (2011),R,125 min,"
Comedy, Romance            ","
Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.","

6.8
","
75        
        Metascore
            ","285,872",$169.11M,comedy
11,Wild Hogs,(2007),PG-13,100 min,"
Action, Adventure, Comedy            ","
A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.","

5.9
","
27        
        Metascore
            ","117,530",$168.27M,comedy
12,Three Men and a Baby,(1987),PG,102 min,"
Comedy, Drama, Family            ","
Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.","

6.1
","
61        
        Metascore
            ","52,471",$167.78M,comedy
13,Hotel Transylvania 3: Summer Vacation,(2018),PG,97 min,"
Animation, Adventure, Comedy            ","
Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.","

6.3
","
54        
        Metascore
            ","69,934",$167.51M,comedy
14,Meet the Parents,(2000),PG-13,108 min,"
Comedy, Romance            ","
Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.","

7.0
","
73        
        Metascore
            ","327,322",$166.24M,comedy
15,Knives Out,(2019),PG-13,130 min,"
Comedy, Crime, Drama            ","
A detective investigates the death of the patriarch of an eccentric, combative family.","

7.9
","
82        
        Metascore
            ","577,420",$165.36M,comedy
16,Kung Fu Panda 2,(2011),PG,90 min,"
Animation, Action, Adventure            ","
Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.","

7.2
","
67        
        Metascore
            ","273,704",$165.25M,comedy
17,The Proposal,(I) (2009),PG-13,108 min,"
Comedy, Drama, Romance            ","
A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.","

6.7
","
48        
        Metascore
            ","317,778",$163.96M,comedy
18,Big Daddy,(1999),PG-13,93 min,"
Comedy, Drama            ","
A lazy law-school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.","

6.4
","
41        
        Metascore
            ","211,728",$163.48M,comedy
19,The SpongeBob Movie: Sponge Out of Water,(2015),PG,92 min,"
Animation, Adventure, Comedy            ","
When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.","

6.0
","
62        
        Metascore
            ","53,791",$162.99M,comedy
20,A Bug's Life,(1998),G,95 min,"
Animation, Adventure, Comedy            ","
A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","

7.2
","
77        
        Metascore
            ","284,078",$162.80M,comedy
21,Grown Ups,(I) (2010),PG-13,102 min,"
Comedy            ","
After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.","

5.9
","
30        
        Metascore
            ","244,511",$162.00M,comedy
22,The Waterboy,(1998),PG-13,90 min,"
Comedy, Sport            ","
A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.","

6.1
","
41        
        Metascore
            ","159,639",$161.49M,comedy
23,Ice Age: Continental Drift,(2012),PG,88 min,"
Animation, Adventure, Comedy            ","
Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.","

6.5
","
49        
        Metascore
            ","204,096",$161.32M,comedy
24,Shark Tale,(2004),PG,90 min,"
Animation, Adventure, Comedy            ","
When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage.","

6.0
","
48        
        Metascore
            ","178,156",$160.86M,comedy
25,How to Train Your Dragon: The Hidden World,(2019),PG,104 min,"
Animation, Action, Adventure            ","
When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.","

7.4
","
71        
        Metascore
            ","120,923",$160.80M,comedy
26,The Sting,(1973),PG,129 min,"
Comedy, Crime, Drama            ","
Two grifters team up to pull off the ultimate con.","

8.3
","
83        
        Metascore
            ","255,515",$159.60M,comedy
27,The Heat,(I) (2013),R,117 min,"
Action, Comedy, Crime            ","
An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.","

6.6
","
60        
        Metascore
            ","169,279",$159.58M,comedy
28,The Secret Life of Pets 2,(2019),PG,86 min,"
Animation, Adventure, Comedy            ","
Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.","

6.5
","
55        
        Metascore
            ","59,411",$158.87M,comedy
29,The Longest Yard,(2005),PG-13,113 min,"
Comedy, Crime, Sport            ","
Prison inmates form a football team to challenge the prison guards.","

6.4
","
48        
        Metascore
            ","174,880",$158.12M,comedy
30,Scary Movie,(2000),R,88 min,"
Comedy            ","
A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.","

6.2
","
48        
        Metascore
            ","252,598",$157.02M,comedy
31,Who Framed Roger Rabbit,(1988),PG,104 min,"
Animation, Adventure, Comedy            ","
A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.","

7.7
","
83        
        Metascore
            ","195,266",$156.45M,comedy
32,Over the Hedge,(2006),PG,83 min,"
Animation, Adventure, Comedy            ","
A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.","

6.7
","
67        
        Metascore
            ","170,625",$155.02M,comedy
33,Horton Hears a Who!,(2008),G,86 min,"
Animation, Adventure, Comedy            ","
Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.","

6.8
","
71        
        Metascore
            ","137,283",$154.53M,comedy
34,Jerry Maguire,(1996),R,139 min,"
Comedy, Drama, Romance            ","
When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.","

7.3
","
77        
        Metascore
            ","258,068",$153.95M,comedy
35,Trolls,(2016),PG,92 min,"
Animation, Adventure, Comedy            ","
After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.","

6.5
","
55        
        Metascore
            ","79,255",$153.71M,comedy
36,Beverly Hills Cop II,(1987),R,100 min,"
Action, Comedy, Crime            ","
Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it.","

6.5
","
48        
        Metascore
            ","116,936",$153.67M,comedy
37,Scooby-Doo,(2002),PG,86 min,"
Adventure, Comedy, Family            ","
After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.","

5.2
","
35        
        Metascore
            ","108,757",$153.29M,comedy
38,Cars 3,(2017),G,102 min,"
Animation, Adventure, Comedy            ","
Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.","

6.7
","
59        
        Metascore
            ","91,175",$152.90M,comedy
39,Sex and the City,(2008),R,145 min,"
Comedy, Drama, Romance            ","
A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.","

5.7
","
53        
        Metascore
            ","121,070",$152.65M,comedy
40,Runaway Bride,(1999),PG,116 min,"
Comedy, Romance            ","
A reporter is assigned to write a story about a woman who has left a string of fiancés at the altar.","

5.6
","
39        
        Metascore
            ","97,417",$152.26M,comedy
41,La La Land,(2016),PG-13,128 min,"
Comedy, Drama, Music            ","
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","

8.0
","
94        
        Metascore
            ","558,654",$151.10M,comedy
42,We're the Millers,(2013),R,110 min,"
Comedy, Crime            ","
A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.","

7.0
","
44        
        Metascore
            ","434,711",$150.39M,comedy
43,Daddy's Home,(2015),PG-13,96 min,"
Comedy, Family            ","
Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.","

6.1
","
42        
        Metascore
            ","117,296",$150.36M,comedy
44,Neighbors,(I) (2014),R,97 min,"
Comedy            ","
After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.","

6.3
","
68        
        Metascore
            ","303,918",$150.16M,comedy
45,Puss in Boots,(2011),PG,90 min,"
Animation, Adventure, Comedy            ","
An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town.","

6.6
","
65        
        Metascore
            ","154,351",$149.26M,comedy
46,Sonic the Hedgehog,(2020),PG,99 min,"
Action, Adventure, Comedy            ","
After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.","

6.5
","
47        
        Metascore
            ","115,566",$148.97M,comedy
47,Knocked Up,(2007),R,129 min,"
Comedy, Romance            ","
For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.","

7.0
","
85        
        Metascore
            ","363,930",$148.73M,comedy
48,As Good as It Gets,(1997),PG-13,139 min,"
Comedy, Drama, Romance            ","
A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.","

7.7
","
67        
        Metascore
            ","292,901",$148.48M,comedy
49,Megamind,(2010),PG,95 min,"
Animation, Action, Comedy            ","
Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.","

7.3
","
63        
        Metascore
            ","249,541",$148.42M,comedy
0,Little Fockers,(2010),PG-13,98 min,"
Comedy, Romance            ","
Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?","

5.5
","
27        
        Metascore
            ","111,254",$148.38M,comedy
1,Hotel Transylvania,(2012),PG,91 min,"
Animation, Comedy, Family            ","
Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.","

7.1
","
47        
        Metascore
            ","246,701",$148.31M,comedy
2,Talladega Nights: The Ballad of Ricky Bobby,(2006),PG-13,108 min,"
Comedy, Sport            ","
Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.","

6.6
","
66        
        Metascore
            ","179,807",$148.21M,comedy
3,Gremlins,(1984),PG,106 min,"
Comedy, Fantasy, Horror            ","
A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.","

7.3
","
70        
        Metascore
            ","217,091",$148.17M,comedy
4,True Lies,(1994),R,141 min,"
Action, Comedy, Thriller            ","
A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.","

7.3
","
63        
        Metascore
            ","252,168",$146.28M,comedy
5,Lilo & Stitch,(2002),PG,85 min,"
Animation, Adventure, Comedy            ","
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.","

7.3
","
73        
        Metascore
            ","182,980",$145.79M,comedy
6,American Pie 2,(2001),R,108 min,"
Comedy            ","
Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.","

6.4
","
43        
        Metascore
            ","251,011",$145.10M,comedy
7,One Hundred and One Dalmatians,(1961),G,79 min,"
Animation, Adventure, Comedy            ","
When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement.","

7.3
","
83        
        Metascore
            ","163,588",$144.88M,comedy
8,The Santa Clause,(1994),PG,97 min,"
Comedy, Drama, Family            ","
When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place.","

6.5
","
57        
        Metascore
            ","113,198",$144.83M,comedy
9,Doctor Dolittle,(1998),PG-13,85 min,"
Comedy, Family, Fantasy            ","
A doctor discovers that he can communicate with animals.","

5.4
","
46        
        Metascore
            ","96,101",$144.16M,comedy
10,Mamma Mia!,(2008),PG-13,108 min,"
Comedy, Musical, Romance            ","
The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.","

6.5
","
51        
        Metascore
            ","235,149",$144.13M,comedy
11,Pokémon Detective Pikachu,(2019),PG,104 min,"
Action, Adventure, Comedy            ","
In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.","

6.6
","
53        
        Metascore
            ","155,142",$144.11M,comedy
12,Rio,(2011),G,96 min,"
Animation, Adventure, Comedy            ","
When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.","

6.9
","
63        
        Metascore
            ","221,076",$143.62M,comedy
13,Kung Fu Panda 3,(2016),PG,95 min,"
Animation, Action, Adventure            ","
Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.","

7.1
","
66        
        Metascore
            ","150,425",$143.53M,comedy
14,Juno,(2007),PG-13,96 min,"
Comedy, Drama            ","
Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child.","

7.5
","
81        
        Metascore
            ","511,065",$143.50M,comedy
15,Marley & Me,(2008),PG,115 min,"
Comedy, Drama, Family            ","
A family learns important life lessons from their adorable, but naughty and neurotic dog.","

7.1
","
53        
        Metascore
            ","155,234",$143.15M,comedy
16,The Smurfs,(2011),PG,103 min,"
Animation, Adventure, Comedy            ","
When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.","

5.4
","
30        
        Metascore
            ","88,666",$142.61M,comedy
17,Once Upon a Time... In Hollywood,(2019),R,161 min,"
Comedy, Drama            ","
A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.","

7.6
","
83        
        Metascore
            ","674,516",$142.50M,comedy
18,The Jungle Book,(1967),G,78 min,"
Animation, Adventure, Comedy            ","
Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.","

7.6
","
65        
        Metascore
            ","177,155",$141.84M,comedy
19,Rush Hour,(1998),PG-13,98 min,"
Action, Comedy, Crime            ","
A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.","

7.0
","
60        
        Metascore
            ","258,733",$141.15M,comedy
20,Shazam!,(2019),PG-13,132 min,"
Action, Adventure, Comedy            ","
A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.","

7.0
","
71        
        Metascore
            ","311,842",$140.37M,comedy
21,Ocean's Eight,(2018),PG-13,110 min,"
Action, Comedy, Crime            ","
Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.","

6.3
","
61        
        Metascore
            ","209,594",$140.22M,comedy
22,Rush Hour 3,(2007),PG-13,91 min,"
Action, Comedy, Crime            ","
After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.","

6.2
","
44        
        Metascore
            ","163,538",$140.13M,comedy
23,Look Who's Talking,(1989),PG-13,93 min,"
Comedy            ","
After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over.","

5.9
","
51        
        Metascore
            ","81,535",$140.09M,comedy
24,Stuart Little,(1999),PG,84 min,"
Adventure, Comedy, Family            ","
The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him.","

6.0
","
61        
        Metascore
            ","132,030",$140.04M,comedy
25,The Rocky Horror Picture Show,(1975),R,100 min,"
Comedy, Horror, Musical            ","
A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.","

7.4
","
65        
        Metascore
            ","146,555",$139.88M,comedy
26,Sister Act,(1992),PG,100 min,"
Comedy, Family, Music            ","
When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity.","

6.5
","
51        
        Metascore
            ","96,307",$139.61M,comedy
27,The Santa Clause 2,(2002),G,104 min,"
Comedy, Family, Fantasy            ","
Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus.","

5.7
","
48        
        Metascore
            ","56,275",$139.24M,comedy
28,Cheaper by the Dozen,(2003),PG,98 min,"
Comedy, Family            ","
With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.","

5.9
","
46        
        Metascore
            ","99,912",$138.61M,comedy
29,Bad Boys II,(2003),R,147 min,"
Action, Comedy, Crime            ","
Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.","

6.6
","
38        
        Metascore
            ","245,035",$138.61M,comedy
30,21 Jump Street,(2012),R,109 min,"
Action, Comedy, Crime            ","
A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.","

7.2
","
69        
        Metascore
            ","542,214",$138.45M,comedy
31,A Christmas Carol,(2009),PG,96 min,"
Animation, Adventure, Comedy            ","
An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.","

6.8
","
55        
        Metascore
            ","112,475",$137.86M,comedy
32,Click,(2006),PG-13,107 min,"
Comedy, Drama, Fantasy            ","
A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.","

6.4
","
45        
        Metascore
            ","322,866",$137.36M,comedy
33,101 Dalmatians,(1996),G,103 min,"
Adventure, Comedy, Crime            ","
An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.","

5.7
","
49        
        Metascore
            ","109,615",$136.19M,comedy
34,Anger Management,(2003),PG-13,106 min,"
Comedy            ","
Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.","

6.2
","
52        
        Metascore
            ","212,126",$135.65M,comedy
35,Chicken Little,(2005),G,81 min,"
Animation, Adventure, Comedy            ","
After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.","

5.7
","
48        
        Metascore
            ","90,688",$135.39M,comedy
36,Teenage Mutant Ninja Turtles,(1990),PG,93 min,"
Action, Adventure, Comedy            ","
Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.","

6.8
","
51        
        Metascore
            ","91,945",$135.27M,comedy
37,Patch Adams,(1998),PG-13,115 min,"
Biography, Comedy, Drama            ","
The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.","

6.8
","
25        
        Metascore
            ","111,623",$135.03M,comedy
38,Ride Along,(2014),PG-13,99 min,"
Action, Comedy, Crime            ","
Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.","

6.1
","
41        
        Metascore
            ","111,479",$134.94M,comedy
39,Identity Thief,(2013),R,111 min,"
Comedy, Crime, Drama            ","
Mild mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless looking woman who has been living it up after stealing Sandy's identity.","

5.7
","
35        
        Metascore
            ","131,538",$134.51M,comedy
40,Grown Ups 2,(2013),PG-13,101 min,"
Comedy            ","
After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you.","

5.3
","
19        
        Metascore
            ","150,087",$133.67M,comedy
41,Alvin and the Chipmunks: Chipwrecked,(2011),G,87 min,"
Animation, Adventure, Comedy            ","
Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.","

4.3
","
24        
        Metascore
            ","34,439",$133.11M,comedy
42,Bringing Down the House,(2003),PG-13,105 min,"
Comedy            ","
When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.","

5.6
","
39        
        Metascore
            ","36,671",$132.72M,comedy
43,Silver Linings Playbook,(2012),R,122 min,"
Comedy, Drama, Romance            ","
After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.","

7.7
","
81        
        Metascore
            ","694,379",$132.09M,comedy
44,Rio 2,(2014),G,101 min,"
Animation, Adventure, Comedy            ","
It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.","

6.3
","
49        
        Metascore
            ","87,616",$131.54M,comedy
45,"Honey, I Shrunk the Kids",(1989),PG,93 min,"
Adventure, Comedy, Family            ","
The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.","

6.4
","
63        
        Metascore
            ","151,404",$130.72M,comedy
46,The Flintstones,(1994),PG,91 min,"
Comedy, Family, Fantasy            ","
In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.","

4.9
","
38        
        Metascore
            ","80,175",$130.51M,comedy
47,Get Smart,(2008),PG-13,110 min,"
Action, Adventure, Comedy            ","
Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.","

6.5
","
54        
        Metascore
            ","214,121",$130.32M,comedy
48,The Peanuts Movie,(2015),G,88 min,"
Animation, Adventure, Comedy            ","
Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.","

7.0
","
67        
        Metascore
            ","45,078",$130.18M,comedy
49,The Nutty Professor,(1996),PG-13,95 min,"
Comedy, Romance, Sci-Fi            ","
Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.","

5.7
","
62        
        Metascore
            ","115,483",$128.81M,comedy
0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),R,84 min,"
Comedy            ","
Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.","

7.4
","
89        
        Metascore
            ","397,871",$128.51M,comedy
1,Ghostbusters: Answer the Call,(2016),PG-13,117 min,"
Action, Comedy, Fantasy            ","
Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","

6.9
","
60        
        Metascore
            ","224,835",$128.34M,comedy
2,Kingsman: The Secret Service,(2014),R,129 min,"
Action, Adventure, Comedy            ","
A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.","

7.7
","
60        
        Metascore
            ","644,227",$128.26M,comedy
3,Robots,(2005),PG,91 min,"
Animation, Adventure, Comedy            ","
In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.","

6.4
","
64        
        Metascore
            ","142,677",$128.20M,comedy
4,Coming to America,(1988),R,117 min,"
Comedy, Romance            ","
An extremely pampered African prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and strong will.","

7.1
","
47        
        Metascore
            ","203,228",$128.15M,comedy
5,Into the Woods,(2014),PG,125 min,"
Adventure, Comedy, Drama            ","
A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.","

5.9
","
69        
        Metascore
            ","138,910",$128.00M,comedy
6,Enchanted,(2007),PG,107 min,"
Animation, Adventure, Comedy            ","
A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.","

7.1
","
75        
        Metascore
            ","193,452",$127.81M,comedy
7,Central Intelligence,(2016),PG-13,107 min,"
Action, Comedy, Crime            ","
After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.","

6.3
","
52        
        Metascore
            ","181,125",$127.44M,comedy
8,Anchorman 2: The Legend Continues,(2013),PG-13,119 min,"
Comedy            ","
With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm.","

6.3
","
61        
        Metascore
            ","177,912",$127.35M,comedy
9,Sweet Home Alabama,(2002),PG-13,108 min,"
Comedy, Romance            ","
A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.","

6.2
","
45        
        Metascore
            ","110,514",$127.22M,comedy
10,Dumb and Dumber,(1994),PG-13,107 min,"
Comedy            ","
After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.","

7.3
","
41        
        Metascore
            ","374,316",$127.18M,comedy
11,My Best Friend's Wedding,(1997),PG-13,105 min,"
Comedy, Drama, Romance            ","
When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.","

6.3
","
50        
        Metascore
            ","139,139",$127.12M,comedy
12,Smokey and the Bandit,(1977),PG,96 min,"
Action, Adventure, Comedy            ","
The Bandit is hired on to run a tractor-trailer full of beer over state lines, in hot pursuit by a pesky sheriff.","

7.0
","
50        
        Metascore
            ","49,369",$126.74M,comedy
13,Bee Movie,(2007),PG,91 min,"
Animation, Adventure, Comedy            ","
Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them.","

6.1
","
54        
        Metascore
            ","156,159",$126.63M,comedy
14,Sleepless in Seattle,(1993),PG,105 min,"
Comedy, Drama, Romance            ","
A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.","

6.8
","
72        
        Metascore
            ","171,934",$126.53M,comedy
15,Mr. Deeds,(2002),PG-13,96 min,"
Comedy, Romance            ","
A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.","

5.8
","
24        
        Metascore
            ","142,354",$126.29M,comedy
16,The Truman Show,(1998),PG,103 min,"
Comedy, Drama            ","
An insurance salesman discovers his whole life is actually a reality TV show.","

8.2
","
90        
        Metascore
            ","1,023,171",$125.62M,comedy
17,Charlie's Angels,(2000),PG-13,98 min,"
Action, Adventure, Comedy            ","
Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.","

5.6
","
52        
        Metascore
            ","184,777",$125.31M,comedy
