Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
My Best Friend's Wedding,1997,PG-13,20 Jun 1997,105 min,"Comedy, Drama, Romance",P.J. Hogan,Ronald Bass,"Julia Roberts, Dermot Mulroney, Cameron Diaz","When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.","English, French, Italian",United States,Nominated for 1 Oscar. 12 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMzRiMGE2MmMtM2RhMy00OWNiLTljYTktOThmMmE1YjY1NjYyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",50,6.3,"138,905",tt0119738,movie,03 Jul 2001,"$127,120,029",N/A,N/A,True
Smokey and the Bandit,1977,PG,27 May 1977,96 min,"Action, Adventure, Comedy",Hal Needham,"Hal Needham, Robert L. Levy, James Lee Barrett","Burt Reynolds, Sally Field, Jerry Reed","The Bandit is hired on to run a tractor-trailer full of beer over state lines, in hot pursuit by a pesky sheriff.",English,United States,Nominated for 1 Oscar. 2 nominations total,https://m.media-amazon.com/images/M/MV5BNmViNzZjZTEtODY4MS00Y2U1LWI1NTgtYjk5M2NiMTMxMzY4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",50,7.0,"49,166",tt0076729,movie,20 Jan 2004,"$126,737,428",N/A,N/A,True
Bee Movie,2007,PG,02 Nov 2007,91 min,"Animation, Adventure, Comedy","Simon J. Smith, Steve Hickner","Jerry Seinfeld, Spike Feresten, Barry Marder","Jerry Seinfeld, Renée Zellweger, Matthew Broderick","Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blo",English,United States,1 win & 15 nominations,https://m.media-amazon.com/images/M/MV5BMjE1MDYxOTA4MF5BMl5BanBnXkFtZTcwMDE0MDUzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",54,6.1,"155,405",tt0389790,movie,11 Mar 2008,"$126,631,277",N/A,N/A,True
Sleepless in Seattle,1993,PG,25 Jun 1993,105 min,"Comedy, Drama, Romance",Nora Ephron,"Jeff Arch, Nora Ephron, David S. Ward","Tom Hanks, Meg Ryan, Ross Malinger",A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,English,United States,Nominated for 2 Oscars. 4 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BNWY1MDJkZGUtZTE2OS00ODZiLTlmNzQtMDZjNzM2ZjkwM2QxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",72,6.8,"171,347",tt0108160,movie,27 Jun 2000,"$126,808,165",N/A,N/A,True
Mr. Deeds,2002,PG-13,28 Jun 2002,96 min,"Comedy, Romance",Steven Brill,"Clarence Budington Kelland, Robert Riskin, Tim Herlihy","Adam Sandler, Winona Ryder, John Turturro","A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",English,United States,5 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTU3NTE3M2QtNWQ0MS00ZmRkLWIwNTMtOTA0ZGM5N2UwMWNjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",24,5.8,"142,003",tt0280590,movie,22 Oct 2002,"$126,293,452",N/A,N/A,True
The Truman Show,1998,PG,05 Jun 1998,103 min,"Comedy, Drama",Peter Weir,Andrew Niccol,"Jim Carrey, Ed Harris, Laura Linney",An insurance salesman discovers his whole life is actually a reality TV show.,English,United States,Nominated for 3 Oscars. 40 wins & 69 nominations total,https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",90,8.1,"1,020,056",tt0120382,movie,23 Aug 2005,"$125,618,201",N/A,N/A,True
Charlie's Angels,2000,PG-13,03 Nov 2000,98 min,"Action, Adventure, Comedy",McG,"Ryan Rowe, Ed Solomon, John August","Cameron Diaz, Drew Barrymore, Lucy Liu","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.","English, German, Finnish, Japanese, Cantonese","United States, Germany",15 wins & 33 nominations,https://m.media-amazon.com/images/M/MV5BMGI1NTM5MTItNDcxMS00YTIwLTg1NjUtNzE5ZGE5NDkxMmU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",52,5.6,"184,428",tt0160127,movie,27 May 2003,"$125,305,545",N/A,N/A,True
Cloudy with a Chance of Meatballs,2009,PG,18 Sep 2009,90 min,"Animation, Adventure, Comedy","Phil Lord, Christopher Miller","Phil Lord, Christopher Miller, Judi Barrett","Anna Faris, Bill Hader, Bruce Campbell","A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.","English, French, Spanish",United States,1 win & 14 nominations,https://m.media-amazon.com/images/M/MV5BMTg0MjAwNDI5MV5BMl5BanBnXkFtZTcwODkyMzg2Mg@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",66,6.9,"223,049",tt0844471,movie,05 Jan 2010,"$124,870,275",N/A,N/A,True
The Devil Wears Prada,2006,PG-13,30 Jun 2006,109 min,"Comedy, Drama",David Frankel,"Aline Brosh McKenna, Lauren Weisberger","Anne Hathaway, Meryl Streep, Adrian Grenier","A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.","English, French","United States, France",Nominated for 2 Oscars. 19 wins & 53 nominations total,https://m.media-amazon.com/images/M/MV5BZjQ3ZTIzOTItMGNjNC00MWRmLWJlMGEtMjJmMDM5ZDIzZGM3XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",62,6.9,"401,519",tt0458352,movie,12 Dec 2006,"$124,740,460",N/A,N/A,True
Something's Gotta Give,2003,PG-13,12 Dec 2003,128 min,"Comedy, Drama, Romance",Nancy Meyers,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves",A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,"English, French",United States,Nominated for 1 Oscar. 8 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BODYyNmRlNDMtYzg1Zi00NzlhLWI4ZDMtZWUwOTQzMDZiYTQyXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",66,6.7,"118,985",tt0337741,movie,30 Mar 2004,"$124,728,738",N/A,N/A,True
The Birdcage,1996,R,08 Mar 1996,117 min,Comedy,Mike Nichols,"Jean Poiret, Francis Veber, Édouard Molinaro","Robin Williams, Nathan Lane, Gene Hackman",A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,English,United States,Nominated for 1 Oscar. 7 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",72,7.2,"86,858",tt0115685,movie,27 Aug 1997,"$124,060,553",N/A,N/A,True
City Slickers,1991,PG-13,07 Jun 1991,113 min,"Comedy, Western",Ron Underwood,"Lowell Ganz, Babaloo Mandel","Billy Crystal, Jack Palance, Daniel Stern","On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.",English,United States,Won 1 Oscar. 8 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTkwNjM2MTc5NF5BMl5BanBnXkFtZTcwMzQ2NjEzNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",70,6.8,"54,840",tt0101587,movie,08 May 2001,"$124,033,791",N/A,N/A,True
"Good Morning, Vietnam",1987,R,15 Jan 1988,121 min,"Biography, Comedy, Drama",Barry Levinson,Mitch Markowitz,"Robin Williams, Forest Whitaker, Tom. T. Tran","In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam.",English,United States,Nominated for 1 Oscar. 7 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOWRhZGQ5ODQtMzUzNi00M2I4LThmZmUtYmQ0NDQzMTkxMWQ0XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",67,7.3,"136,423",tt0093105,movie,17 Jan 2006,"$123,922,370",N/A,N/A,True
Rango,2011,PG,04 Mar 2011,107 min,"Animation, Action, Adventure",Gore Verbinski,"John Logan, Gore Verbinski, James Ward Byrkit","Johnny Depp, Isla Fisher, Timothy Olyphant","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",English,United States,Won 1 Oscar. 46 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BMTc4NjEyODE1OV5BMl5BanBnXkFtZTcwMjYzNTkxNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",75,7.2,"254,593",tt1192628,movie,15 Jul 2011,"$123,477,607",N/A,N/A,True
Nutty Professor II: The Klumps,2000,PG-13,28 Jul 2000,106 min,"Comedy, Romance, Sci-Fi",Peter Segal,"Jerry Lewis, Steve Oedekerk, Barry W. Blaustein","Eddie Murphy, Janet Jackson, Larry Miller","Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",English,United States,2 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BNjcyOWM2NTUtYzRjYS00ZTQ4LWFlZGItNTE2MDg4MGIxNjAyXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.4/10'}",38,4.4,"50,480",tt0144528,movie,17 Jan 2006,"$123,309,890",N/A,N/A,True
The Good Dinosaur,2015,PG,25 Nov 2015,93 min,"Animation, Adventure, Comedy",Peter Sohn,"Bob Peterson, Peter Sohn, Erik Benson","Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla","In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",English,United States,9 wins & 41 nominations,https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",66,6.7,"111,167",tt1979388,movie,23 Feb 2016,"$123,087,120",N/A,N/A,True
Wayne's World,1992,PG-13,14 Feb 1992,94 min,"Comedy, Music",Penelope Spheeris,"Mike Myers, Bonnie Turner, Terry Turner","Mike Myers, Dana Carvey, Rob Lowe",Two slacker friends try to promote their public-access cable show.,"English, Cantonese",United States,4 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMDAyNDY3MjUtYmJjYS00Zjc5LTlhM2MtNzgzYjNlOWVkZjkzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",57,7.0,"152,889",tt0105793,movie,10 Jul 2001,"$121,697,323",N/A,N/A,True
Free Guy,2021,PG-13,13 Aug 2021,115 min,"Action, Adventure, Comedy",Shawn Levy,"Matt Lieberman, Zak Penn","Ryan Reynolds, Jodie Comer, Taika Waititi","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","English, Japanese, German",United States,Nominated for 1 Oscar. 3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BOTY2NzFjODctOWUzMC00MGZhLTlhNjMtM2Y2ODBiNGY1ZWRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",62,7.2,"279,022",tt6264654,movie,27 Sep 2021,"$121,626,598",N/A,N/A,True
Superbad,2007,R,17 Aug 2007,113 min,Comedy,Greg Mottola,"Seth Rogen, Evan Goldberg","Michael Cera, Jonah Hill, Christopher Mintz-Plasse",Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,English,United States,11 wins & 24 nominations,https://m.media-amazon.com/images/M/MV5BMTc0NjIyMjA2OF5BMl5BanBnXkFtZTcwMzIxNDE1MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",76,7.6,"555,576",tt0829482,movie,04 Dec 2007,"$121,463,226",N/A,N/A,True
50 First Dates,2004,PG-13,13 Feb 2004,99 min,"Comedy, Drama, Romance",Peter Segal,George Wing,"Adam Sandler, Drew Barrymore, Rob Schneider",Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,"English, Hawaiian, Mandarin",United States,6 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMjAwMzc4MDgxNF5BMl5BanBnXkFtZTYwNjUwMzE3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",48,6.8,"345,572",tt0343660,movie,15 Jun 2004,"$120,908,074",N/A,N/A,True
Mamma Mia! Here We Go Again,2018,PG-13,20 Jul 2018,114 min,"Comedy, Musical, Romance",Ol Parker,"Ol Parker, Richard Curtis, Catherine Johnson","Lily James, Amanda Seyfried, Meryl Streep","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.","English, French, Greek","United Kingdom, United States, Japan",12 nominations,https://m.media-amazon.com/images/M/MV5BMjEwMTM3OTI1NV5BMl5BanBnXkFtZTgwNDk5NTY0NTM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",60,6.6,"90,577",tt6911608,movie,23 Oct 2018,"$120,634,935",N/A,N/A,True
Mulan,1998,G,19 Jun 1998,88 min,"Animation, Adventure, Comedy","Tony Bancroft, Barry Cook","Robert D. San Souci, Rita Hsiao, Chris Sanders","Ming-Na Wen, Eddie Murphy, BD Wong","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","English, Mandarin",United States,Nominated for 1 Oscar. 17 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BODkxNGQ1NWYtNzg0Ny00Yjg3LThmZTItMjE2YjhmZTQ0ODY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",71,7.7,"276,291",tt0120762,movie,26 Oct 2004,"$120,620,254",N/A,N/A,True
Four Christmases,2008,PG-13,26 Nov 2008,88 min,"Comedy, Drama, Romance",Seth Gordon,"Matt Allen, Caleb Wilson, Jon Lucas","Reese Witherspoon, Vince Vaughn, Mary Steenburgen",A couple struggles to visit all four of their divorced parents on Christmas.,English,"Germany, United States",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTQ2MjA0NDAwNF5BMl5BanBnXkFtZTcwOTU4MTM5MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",41,5.7,"71,406",tt0369436,movie,24 Nov 2009,"$120,146,040",N/A,N/A,True
I Now Pronounce You Chuck & Larry,2007,PG-13,20 Jul 2007,115 min,"Comedy, Romance",Dennis Dugan,"Barry Fanaro, Alexander Payne, Jim Taylor","Adam Sandler, Kevin James, Jessica Biel","Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.",English,United States,14 nominations,https://m.media-amazon.com/images/M/MV5BMTM4NDQ3NDQ3Nl5BMl5BanBnXkFtZTcwMjE4NjY0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",37,5.9,"145,823",tt0762107,movie,06 Nov 2007,"$120,059,556",N/A,N/A,True
The Mask,1994,PG-13,29 Jul 1994,101 min,"Action, Comedy, Crime",Chuck Russell,"Michael Fallon, Mark Verheiden, Mike Werb","Jim Carrey, Cameron Diaz, Peter Riegert",Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,"English, Swedish",United States,Nominated for 1 Oscar. 6 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BOWExYjI5MzktNTRhNi00Nzg2LThkZmQtYWVkYjRlYWI2MDQ4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",56,6.9,"372,091",tt0110475,movie,22 Jun 2010,"$119,938,730",N/A,N/A,True
Cloudy with a Chance of Meatballs 2,2013,PG,27 Sep 2013,95 min,"Animation, Adventure, Comedy","Cody Cameron, Kris Pearn","Erica Rivinoja, John Francis Daley, Jonathan Goldstein","Bill Hader, Anna Faris, Will Forte","Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.","English, Chinese",United States,Nominated for 1 BAFTA Film Award16 nominations total,https://m.media-amazon.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",59,6.4,"99,166",tt1985966,movie,28 Jan 2014,"$119,793,567",N/A,N/A,True
Hook,1991,PG,11 Dec 1991,142 min,"Adventure, Comedy, Family",Steven Spielberg,"J.M. Barrie, James V. Hart, Nick Castle","Dustin Hoffman, Robin Williams, Julia Roberts","When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",English,United States,Nominated for 5 Oscars. 7 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNmJjNTQzMjctMmE2NS00ZmYxLWE1NjYtYmRmNjNiMzljOTc3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",52,6.8,"248,194",tt0102057,movie,01 Feb 2005,"$119,654,823",N/A,N/A,True
Blazing Saddles,1974,R,07 Feb 1974,93 min,"Comedy, Western",Mel Brooks,"Mel Brooks, Norman Steinberg, Andrew Bergman","Cleavon Little, Gene Wilder, Slim Pickens","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.","English, Yiddish, German",United States,Nominated for 3 Oscars. 3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZGZmMWE1MDYtNzAyNC00MDMzLTgzZjQtNTQ5NjYzN2E4MzkzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",73,7.7,"134,829",tt0071230,movie,15 May 2007,"$119,601,481",N/A,N/A,True
G-Force,2009,PG,24 Jul 2009,88 min,"Animation, Action, Adventure",Hoyt Yeatman,"Cormac Wibberley, Marianne Wibberley, Hoyt Yeatman","Will Arnett, Penélope Cruz, Zach Galifianakis",A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.,"English, Spanish",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTM4NTY3MzY2MV5BMl5BanBnXkFtZTcwMDQ1NTM2Mg@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",41,5.1,"45,666",tt0436339,movie,15 Dec 2009,"$119,436,770",N/A,N/A,True
