Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
The Secret Life of Pets,2016,PG,08 Jul 2016,87 min,"Animation, Adventure, Comedy",Chris Renaud,"Cinco Paul, Ken Daurio, Brian Lynch","Louis C.K., Eric Stonestreet, Kevin Hart","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",English,"United States, Japan",4 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",61,6.5,"196,125",tt2709768,movie,06 Dec 2016,"$368,384,330",N/A,N/A,True
Despicable Me 2,2013,PG,03 Jul 2013,98 min,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Benjamin Bratt","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.","English, Ukrainian","United States, France, Japan",Nominated for 2 Oscars. 12 wins & 66 nominations total,https://m.media-amazon.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",62,7.3,"388,251",tt1690953,movie,10 Dec 2013,"$368,065,385",N/A,N/A,True
Deadpool,2016,R,12 Feb 2016,108 min,"Action, Adventure, Comedy",Tim Miller,"Rhett Reese, Paul Wernick","Ryan Reynolds, Morena Baccarin, T.J. Miller","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",English,United States,28 wins & 78 nominations,https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",65,8.0,"980,699",tt1431045,movie,10 May 2016,"$363,070,709",N/A,N/A,True
Inside Out,2015,PG,19 Jun 2015,95 min,"Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen","Pete Docter, Ronnie Del Carmen, Meg LeFauve","Amy Poehler, Bill Hader, Lewis Black","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","English, Portuguese",United States,Won 1 Oscar. 100 wins & 116 nominations total,https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",94,8.1,"677,013",tt2096673,movie,03 Nov 2015,"$356,921,711",N/A,N/A,True
Aladdin,1992,G,25 Nov 1992,90 min,"Animation, Adventure, Comedy","Ron Clements, John Musker","Ron Clements, John Musker, Ted Elliott","Scott Weinger, Robin Williams, Linda Larkin",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,English,United States,Won 2 Oscars. 32 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",86,8.0,"395,426",tt0103639,movie,13 Oct 2015,"$217,350,219",N/A,N/A,True
Zootopia,2016,PG,04 Mar 2016,108 min,"Animation, Adventure, Comedy","Byron Howard, Rich Moore, Jared Bush","Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",English,United States,Won 1 Oscar. 47 wins & 72 nominations total,https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",78,8.0,"474,003",tt2948356,movie,07 Jun 2016,"$341,268,248",N/A,N/A,True
Minions,2015,PG,10 Jul 2015,91 min,"Animation, Adventure, Comedy","Kyle Balda, Pierre Coffin",Brian Lynch,"Sandra Bullock, Jon Hamm, Michael Keaton","Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","English, Spanish",United States,Nominated for 1 BAFTA Film Award4 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",56,6.4,"226,992",tt2293640,movie,08 Dec 2015,"$336,045,770",N/A,N/A,True
Guardians of the Galaxy,2014,PG-13,01 Aug 2014,121 min,"Action, Adventure, Comedy",James Gunn,"James Gunn, Nicole Perlman, Dan Abnett","Chris Pratt, Vin Diesel, Bradley Cooper",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,English,United States,Nominated for 2 Oscars. 52 wins & 102 nominations total,https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",76,8.0,"1,125,493",tt2015381,movie,09 Dec 2014,"$333,718,600",N/A,N/A,True
Deadpool 2,2018,R,18 May 2018,119 min,"Action, Adventure, Comedy",David Leitch,"Rhett Reese, Paul Wernick, Ryan Reynolds","Ryan Reynolds, Josh Brolin, Morena Baccarin","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","English, Cantonese, Spanish, Russian",United States,6 wins & 52 nominations,https://m.media-amazon.com/images/M/MV5BMDkzNmRhNTMtZDI4NC00Zjg1LTgxM2QtMjYxZDQ3OWJlMDRlXkEyXkFqcGdeQXVyNTU5MjkzMTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",66,7.7,"542,207",tt5463162,movie,21 Aug 2018,"$324,591,735",N/A,N/A,True
Shrek the Third,2007,PG,18 May 2007,93 min,"Animation, Adventure, Comedy","Chris Miller, Raman Hui","Jeffrey Price, Peter S. Seaman, Chris Miller","Mike Myers, Cameron Diaz, Eddie Murphy","Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",English,United States,Nominated for 1 BAFTA Film Award5 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",58,6.1,"297,457",tt0413267,movie,13 Nov 2007,"$322,719,944",N/A,N/A,True
Jumanji: The Next Level,2019,PG-13,13 Dec 2019,123 min,"Action, Adventure, Comedy",Jake Kasdan,"Jake Kasdan, Jeff Pinkner, Scott Rosenberg","Dwayne Johnson, Jack Black, Kevin Hart","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous",English,United States,1 win & 12 nominations,https://m.media-amazon.com/images/M/MV5BOTVjMmFiMDUtOWQ4My00YzhmLWE3MzEtODM1NDFjMWEwZTRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",58,6.7,"232,090",tt7975244,movie,13 Dec 2019,"$320,314,960",N/A,N/A,True
Thor: Ragnarok,2017,PG-13,03 Nov 2017,130 min,"Action, Adventure, Comedy",Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost","Chris Hemsworth, Tom Hiddleston, Cate Blanchett","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",English,"United States, Australia",6 wins & 49 nominations,https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",74,7.9,"681,350",tt3501632,movie,06 Mar 2018,"$315,058,289",N/A,N/A,True
Up,2009,PG,29 May 2009,96 min,"Animation, Adventure, Comedy","Pete Docter, Bob Peterson","Pete Docter, Bob Peterson, Tom McCarthy","Edward Asner, Jordan Nagai, John Ratzenberger","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",English,United States,Won 2 Oscars. 79 wins & 87 nominations total,https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",88,8.2,"999,911",tt1049413,movie,10 Nov 2009,"$293,004,164",N/A,N/A,True
"Monsters, Inc.",2001,G,02 Nov 2001,92 min,"Animation, Adventure, Comedy","Pete Docter, David Silverman, Lee Unkrich","Pete Docter, Jill Culton, Jeff Pidgeon","Billy Crystal, John Goodman, Mary Gibbs","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",English,United States,Won 1 Oscar. 15 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",79,8.1,"871,223",tt0198781,movie,17 Sep 2002,"$290,642,256",N/A,N/A,True
Home Alone,1990,PG,16 Nov 1990,103 min,"Comedy, Family",Chris Columbus,John Hughes,"Macaulay Culkin, Joe Pesci, Daniel Stern",An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,English,United States,Nominated for 2 Oscars. 11 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",63,7.6,"547,535",tt0099785,movie,07 Dec 2004,"$285,761,243",N/A,N/A,True
Meet the Fockers,2004,PG-13,22 Dec 2004,115 min,"Comedy, Romance",Jay Roach,"Greg Glienna, Mary Ruth Clarke, Jim Herzfeld","Ben Stiller, Robert De Niro, Blythe Danner",All hell breaks loose when the Byrnes family meets the Focker family for the first time.,"English, Spanish, Hebrew",United States,2 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMWZjODQxMWMtZmIzYS00YjMwLWFiZTctYmFiZmJiNjljYWVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",41,6.3,"264,985",tt0290002,movie,11 Mar 2008,"$279,261,160",N/A,N/A,True
The Hangover,2009,R,05 Jun 2009,100 min,Comedy,Todd Phillips,"Jon Lucas, Scott Moore","Zach Galifianakis, Bradley Cooper, Justin Bartha","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",English,"United States, Germany",Nominated for 1 BAFTA Film Award13 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BNGQwZjg5YmYtY2VkNC00NzliLTljYTctNzI5NmU3MjE2ODQzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",73,7.7,"759,307",tt1119646,movie,15 Dec 2009,"$277,322,503",N/A,N/A,True
The Grinch,2018,PG,09 Nov 2018,85 min,"Animation, Adventure, Comedy","Yarrow Cheney, Scott Mosier","Michael LeSieur, Tommy Swerdlow, Dr. Seuss","Benedict Cumberbatch, Cameron Seely, Rashida Jones",A grumpy Grinch plots to ruin Christmas for the village of Whoville.,English,United States,1 win & 18 nominations,https://m.media-amazon.com/images/M/MV5BYmE5Yjg0MzktYzgzMi00YTFiLWJjYTItY2M5MmI1ODI4MDY3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",51,6.4,"67,185",tt2709692,movie,05 Feb 2019,"$271,094,731",N/A,N/A,True
Sing,2016,PG,21 Dec 2016,108 min,"Animation, Comedy, Family","Garth Jennings, Christophe Lourdelet",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","English, Japanese, Ukrainian","Japan, United States",3 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",59,7.1,"158,045",tt3470600,movie,18 Apr 2017,"$270,448,425",N/A,N/A,True
Monsters University,2013,G,21 Jun 2013,104 min,"Animation, Adventure, Comedy",Dan Scanlon,"Dan Scanlon, Daniel Gerson, Robert L. Baird","Billy Crystal, John Goodman, Steve Buscemi","A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",English,United States,Nominated for 2 BAFTA Film 9 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",65,7.2,"346,199",tt1453405,movie,29 Oct 2013,"$268,492,764",N/A,N/A,True
Shrek,2001,PG,18 May 2001,90 min,"Animation, Adventure, Comedy","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott, Terry Rossio","Mike Myers, Eddie Murphy, Cameron Diaz","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",English,United States,Won 1 Oscar. 40 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BOGZhM2FhNTItODAzNi00YjA0LWEyN2UtNjJlYWQzYzU1MDg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",84,7.9,"651,919",tt0126029,movie,19 Aug 2003,"$267,665,011",N/A,N/A,True
Despicable Me 3,2017,PG,30 Jun 2017,89 min,"Animation, Adventure, Comedy","Kyle Balda, Pierre Coffin, Eric Guillon","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Trey Parker","Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",English,United States,33 nominations,https://m.media-amazon.com/images/M/MV5BNjUyNzQ2MTg3Ml5BMl5BanBnXkFtZTgwNzE4NDM3MTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",49,6.3,"126,804",tt3469046,movie,04 Oct 2016,"$264,624,300",N/A,N/A,True
How the Grinch Stole Christmas,2000,PG,17 Nov 2000,104 min,"Comedy, Family, Fantasy",Ron Howard,"Dr. Seuss, Jeffrey Price, Peter S. Seaman","Jim Carrey, Taylor Momsen, Kelley","On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",English,"United States, Germany",Won 1 Oscar. 18 wins & 37 nominations total,https://m.media-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",46,6.2,"238,560",tt0170016,movie,17 Sep 2003,"$260,465,005",N/A,N/A,True
The Lego Movie,2014,PG,07 Feb 2014,100 min,"Animation, Action, Adventure","Christopher Miller, Phil Lord","Phil Lord, Christopher Miller, Dan Hageman","Chris Pratt, Will Ferrell, Elizabeth Banks","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","English, Turkish","United States, Denmark, Australia",Nominated for 1 Oscar. 72 wins & 67 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",83,7.7,"342,080",tt1490017,movie,17 Jun 2014,"$257,760,692",N/A,N/A,True
The Hangover Part II,2011,R,26 May 2011,102 min,Comedy,Todd Phillips,"Craig Mazin, Scot Armstrong, Todd Phillips","Bradley Cooper, Zach Galifianakis, Ed Helms","Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.","English, Thai",United States,5 wins & 18 nominations,https://m.media-amazon.com/images/M/MV5BMTM2MTM4MzY2OV5BMl5BanBnXkFtZTcwNjQ3NzI4NA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",44,6.5,"486,774",tt1411697,movie,06 Dec 2011,"$254,464,305",N/A,N/A,True
Despicable Me,2010,PG,09 Jul 2010,95 min,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio, Sergio Pablos","Steve Carell, Jason Segel, Russell Brand","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",English,"United States, France",Nominated for 1 BAFTA Film Award3 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",72,7.6,"528,139",tt1323594,movie,14 Dec 2010,"$251,513,985",N/A,N/A,True
Night at the Museum,2006,PG,22 Dec 2006,108 min,"Adventure, Comedy, Family",Shawn Levy,"Robert Ben Garant, Thomas Lennon, Milan Trenc","Ben Stiller, Carla Gugino, Ricky Gervais",A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,"English, Italian, Hebrew","United States, United Kingdom",2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTQyOTM4MDMxN15BMl5BanBnXkFtZTcwODg5NTQzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",48,6.4,"335,874",tt0477347,movie,24 Apr 2007,"$250,863,268",N/A,N/A,True
Men in Black,1997,PG-13,02 Jul 1997,98 min,"Action, Adventure, Comedy",Barry Sonnenfeld,"Lowell Cunningham, Ed Solomon","Tommy Lee Jones, Will Smith, Linda Fiorentino",A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,"English, Spanish",United States,Won 1 Oscar. 22 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",71,7.3,"548,614",tt0119654,movie,13 May 2003,"$250,690,539",N/A,N/A,True
